File,Line,Text
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\student\views\management.py,357,TODO: This is lms specific and does not belong in common code.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\student\views\management.py,597,# TODO: Use custom attribute to determine if there are any `activate_account` calls for cms in Production.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\third_party_auth\saml.py,314,# we need some overrides. TODO: Fill in necessary mappings
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\third_party_auth\tasks.py,88,# TODO: Can use OneLogin_Saml2_Utils to validate signed XML if anyone is using that
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\third_party_auth\api\permissions.py,51,# TODO: Remove ApiKeyHeaderPermission. Check deprecated_api_key_header custom attribute for active usage.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\third_party_auth\api\views.py,203,"# TODO: When removing deprecated UserView, rename this view to UserView."
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\track\middleware.py,79,# TODO: Confirm no large file uploads
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\track\transformers.py,29,# TODO: The current implementation of the prefix registry requires
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\track\backends\logger.py,44,"# TODO: remove trucation of the serialized event, either at a"
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\track\backends\mongodb.py,84,# TODO: The creation of indexes can be moved to a Django
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\track\views\__init__.py,101,# TODO: VAN-1052: This event is added to track the KPIs for A/B experiment.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\util\milestones_helpers.py,24,# TODO this should be moved to edx/edx-milestones
B:\LEARNNOV PLATFORM\openedx-platform-master\common\djangoapps\util\tests\test_db.py,132,TODO: Find a general way of handling the case where if we're trying to
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\common\js\components\views\list.js,16,// TODO: at some point we will want 'add' and 'remove'
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\common\js\discussion\views\discussion_thread_list_view.js,176,TODO fix this entire chain of events
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\common\js\discussion\views\discussion_thread_list_view.js,488,TODO: This might be better done by setting discussion.current_page=0 and
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\src\jquery_extend_patch.js,6,TODO: Remove this file and all its uses after upgrading to version >= 3.4.0
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\draggabilly.js,1516,// TODO re-enable img.ondragstart when unbinding
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\draggabilly.js,1539,// TODO replace this with a IE8 test
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\draggabilly.js,1870,// TODO fix quick & dirty check for 3D support
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\jquery.tablednd.js,167,// TODO worry about what happens when there are multiple TBODIES
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\slick.dataview.js,506,// TODO:  lazy totals calculation
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\slick.dataview.js,508,// TODO:  try moving iterating over groups into compiled accumulator
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\slick.dataview.js,1060,// TODO:  add more built-in aggregators
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\slick.dataview.js,1061,// TODO:  merge common aggregators in one to prevent needles iterating
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\slick.grid.js,445,// TODO:  this is static.  need to handle page mutation.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\slick.grid.js,1433,// TODO:  merge them together in the setter
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\slick.grid.js,1775,// TODO:  shorten this loop (index? heuristics? binary search?)
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\slick.groupitemmetadataprovider.js,91,// TODO:  add -/+ handling
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\slick.remotemodel.js,66,// TODO:  look-ahead
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\CodeMirror\codemirror.js,7675,"throw new Error(""inputStyle can not (yet) be changed in a running editor"") // FIXME"
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\CodeMirror\codemirror.js,9191,"// FIXME this is all really shaky. might handle the few cases it needs to handle, but likely to cause problems"
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\CodeMirror\python.js,108,// TODO - Can you have imaginary longs?
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\CodeMirror\addons\formatting.js,14,// FIXME semicolons inside of for
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\CodeMirror\addons\javascript.js,1,// TODO actually recognize syntax of TypeScript constructs
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\CodeMirror\addons\python.js,115,// TODO - Can you have imaginary longs?
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\flot\excanvas.js,161,// TODO: use runtimeStyle and coordsize
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\flot\excanvas.js,168,// TODO: use runtimeStyle and coordsize
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\flot\excanvas.js,615,// TODO: Branch current matrix so that save/restore has no effect
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\flot\excanvas.js,940,// TODO: Following is broken for curves due to
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\flot\excanvas.js,1004,// TODO: Gradients transformed with the transformation matrix.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\flot\excanvas.js,1087,// TODO: Figure out the correct size to fit the scale.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\flot\excanvas.js,1283,// TODO: Fix the min and max params.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\flot\excanvas.js,1331,// TODO: Implement
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\flot\excanvas.js,1335,// TODO: Implement
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\flot\jquery.flot.axislabels.js,286,"// FIXME: not sure why, but placing this exactly at the top causes"
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\flot\jquery.flot.js,450,"// FIXME: if we're getting to close to something else,"
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\flot\jquery.flot.js,2137,// FIXME: consider another form of shadow when filling is turned on
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\flot\jquery.flot.js,2304,// FIXME: inline moveTo is buggy with excanvas
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\flot\jquery.flot.js,2340,// FIXME: figure out a way to add shadows (for instance along the right edge)
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\flot\jquery.flot.pie.js,508,// TODO: add extra shadow inside hole (with a mask) if the pie is tilted.
